Skup Atributa,Algoritam,Accuracy,F1-Score
Svi Atributi,Random Forest,0.9723113964686998,0.9716413515579728
Svi Atributi,SVM,0.9727126805778491,0.9726999762110257
Svi Atributi,Decision Tree,0.6264044943820225,0.7004474122215607
Svi Atributi,KNN,0.9755216693418941,0.9760269880828187
Svi Atributi,BernoulliNB,0.9727126805778491,0.971850165834129
Svi Atributi,Logistic Regression,0.9747191011235955,0.9747487732316072
SelectKBest (Top 15),Random Forest,0.39125200642054575,0.36996507378622784
SelectKBest (Top 15),SVM,0.391653290529695,0.36958381805295853
SelectKBest (Top 15),Decision Tree,0.3904494382022472,0.36914108968357084
SelectKBest (Top 15),KNN,0.38723916532905295,0.36802820433274824
SelectKBest (Top 15),BernoulliNB,0.39285714285714285,0.3709423182571733
SelectKBest (Top 15),Logistic Regression,0.39285714285714285,0.37108303856460856
PCA (10 Komponenti),Random Forest,0.9662921348314607,0.9663056758154817
PCA (10 Komponenti),SVM,0.9642857142857143,0.9643965894756256
PCA (10 Komponenti),Decision Tree,0.9197431781701445,0.9198130505841331
PCA (10 Komponenti),KNN,0.9670947030497592,0.9671154300531747
PCA (10 Komponenti),BernoulliNB,0.8162118780096308,0.8064992259365583
PCA (10 Komponenti),Logistic Regression,0.9650882825040128,0.9651409371704012
